Lenght Mean SEM SD
100.0 0.3313 0.0009 0.1442
200.0 0.2956 0.0008 0.1315
300.0 0.2786 0.0008 0.1240
400.0 0.2697 0.0008 0.1215
500.0 0.2622 0.0008 0.1191
600.0 0.2556 0.0008 0.1167
700.0 0.2520 0.0007 0.1142
800.0 0.2474 0.0007 0.1126
900.0 0.2443 0.0007 0.1113
1000.0 0.2431 0.0007 0.1100
1100.0 0.2410 0.0007 0.1096
1200.0 0.2388 0.0007 0.1076
1300.0 0.2360 0.0007 0.1066
1400.0 0.2353 0.0007 0.1063
1500.0 0.2352 0.0007 0.1060
1600.0 0.2333 0.0007 0.1043
1700.0 0.2312 0.0007 0.1043
1800.0 0.2301 0.0007 0.1036
1900.0 0.2308 0.0007 0.1030
2000.0 0.2275 0.0007 0.1021
2100.0 0.2264 0.0007 0.1019
2200.0 0.2264 0.0007 0.1011
2300.0 0.2256 0.0007 0.1008
2400.0 0.2261 0.0006 0.1004
2500.0 0.2244 0.0006 0.1000
2600.0 0.2227 0.0006 0.1000
2700.0 0.2216 0.0006 0.1001
2800.0 0.2205 0.0006 0.0997
2900.0 0.2219 0.0006 0.0989
3000.0 0.2205 0.0006 0.0981
3100.0 0.2214 0.0006 0.0979
3200.0 0.2204 0.0006 0.0976
3300.0 0.2203 0.0006 0.0967
3400.0 0.2179 0.0006 0.0969
3500.0 0.2184 0.0006 0.0975
3600.0 0.2185 0.0006 0.0963
3700.0 0.2162 0.0006 0.0965
3800.0 0.2176 0.0006 0.0965
3900.0 0.2171 0.0006 0.0959
4000.0 0.2164 0.0006 0.0959
4100.0 0.2148 0.0006 0.0958
4200.0 0.2159 0.0006 0.0952
4300.0 0.2145 0.0006 0.0955
4400.0 0.2153 0.0006 0.0952
4500.0 0.2151 0.0006 0.0948
4600.0 0.2138 0.0006 0.0948
4700.0 0.2140 0.0006 0.0939
4800.0 0.2136 0.0006 0.0939
4900.0 0.2129 0.0006 0.0940
5000.0 0.2125 0.0006 0.0935
5100.0 0.2131 0.0006 0.0941
5200.0 0.2128 0.0006 0.0934
5300.0 0.2118 0.0006 0.0927
5400.0 0.2119 0.0006 0.0930
5500.0 0.2122 0.0006 0.0930
5600.0 0.2113 0.0006 0.0925
5700.0 0.2124 0.0006 0.0925
5800.0 0.2114 0.0006 0.0922
5900.0 0.2107 0.0006 0.0923
6000.0 0.2110 0.0006 0.0927
6100.0 0.2098 0.0006 0.0919
6200.0 0.2099 0.0006 0.0922
6300.0 0.2100 0.0006 0.0917
6400.0 0.2092 0.0006 0.0914
6500.0 0.2090 0.0006 0.0916
6600.0 0.2089 0.0006 0.0910
6700.0 0.2078 0.0006 0.0912
6800.0 0.2086 0.0006 0.0907
6900.0 0.2089 0.0006 0.0913
7000.0 0.2073 0.0006 0.0906
7100.0 0.2076 0.0006 0.0908
7200.0 0.2077 0.0006 0.0907
7300.0 0.2077 0.0006 0.0905
7400.0 0.2073 0.0006 0.0903
7500.0 0.2079 0.0006 0.0906
7600.0 0.2065 0.0006 0.0905
7700.0 0.2080 0.0006 0.0906
7800.0 0.2073 0.0006 0.0900
7900.0 0.2068 0.0006 0.0902
8000.0 0.2074 0.0006 0.0897
8100.0 0.2069 0.0006 0.0896
8200.0 0.2061 0.0006 0.0895
8300.0 0.2067 0.0006 0.0899
8400.0 0.2062 0.0006 0.0895
8500.0 0.2065 0.0006 0.0894
8600.0 0.2056 0.0006 0.0896
8700.0 0.2051 0.0006 0.0889
8800.0 0.2063 0.0006 0.0888
8900.0 0.2055 0.0006 0.0889
9000.0 0.2057 0.0006 0.0892
9100.0 0.2055 0.0006 0.0896
9200.0 0.2053 0.0006 0.0887
9300.0 0.2056 0.0006 0.0883
9400.0 0.2068 0.0006 0.0883
9500.0 0.2044 0.0006 0.0889
9600.0 0.2047 0.0006 0.0885
9700.0 0.2053 0.0006 0.0886
9800.0 0.2050 0.0006 0.0879
9900.0 0.2037 0.0006 0.0891
10000.0 0.2037 0.0006 0.0880
10100.0 0.2044 0.0006 0.0877
10200.0 0.2040 0.0006 0.0886
10300.0 0.2045 0.0006 0.0882
10400.0 0.2045 0.0006 0.0877
10500.0 0.2038 0.0006 0.0883
10600.0 0.2028 0.0006 0.0876
10700.0 0.2035 0.0006 0.0882
10800.0 0.2042 0.0006 0.0880
10900.0 0.2037 0.0006 0.0876
11000.0 0.2038 0.0006 0.0874
11100.0 0.2038 0.0006 0.0879
11200.0 0.2038 0.0006 0.0877
11300.0 0.2029 0.0006 0.0878
11400.0 0.2024 0.0006 0.0875
11500.0 0.2025 0.0006 0.0875
11600.0 0.2026 0.0006 0.0874
11700.0 0.2025 0.0006 0.0872
